br?	Month	EXT_STAT-m1_is_missing	EXT_STAT-m1_=_C	EXT_STAT-m1_=_E	EXT_STAT-m1_=_I	INT_STAT-m1_is_missing	INT_STAT-m1_=_N	INT_STAT-m1_=_O	INT_STAT-m1_=_X	CASH-m1	EXT_STAT-m1_=_I*INT_STAT-m1_is_missing 	Calibrator
1	18	1	0	0	0	1	0	0	0	12.99	0	-0.0152979
1	7	-1.11022e-16	0	1	0	0	0	0	1	22.08	0	0.0368093
1	14	-1.11022e-16	0	1	0	0	0	0	0	20.05	0	0.027844
1	17	1	0	0	0	0	0	0	0	20.24	0	-0.0789408
1	9	-1.11022e-16	0	1	0	0	0	0	1	16.99	0	0.110433
1	14	1	0	0	0	0	0	0	1	17.99	0	-0.00593179
1	18	1	0	0	0	1	0	0	0	21.24	0	0.142198
1	12	1	0	0	0	0	0	0	0	17.9	0	-0.095089
1	17	-1.11022e-16	0	1	0	0	0	0	1	22.24	0	0.124637
1	16	-1.11022e-16	0	1	0	0	0	0	0	13.9	0	0.109556
1	16	1	0	0	0	0	0	1	0	18.27	0	-0.240276
1	15	-1.11022e-16	0	1	0	0	0	0	1	16.99	0	0.180725
1	12	-1.11022e-16	0	1	0	0	0	0	1	19.02	0	0.114862
1	16	-1.11022e-16	0	1	0	0	0	0	1	16.9	0	0.194439
1	15	1	0	0	0	0	0	0	0	19.99	0	-0.0924405
1	12	-1.11022e-16	0	1	0	0	0	0	1	19.99	0	0.101443
1	18	-1.11022e-16	0	1	0	0	0	0	1	20.24	0	0.166504
1	18	1	0	0	0	0	0	0	0	20.21	0	-0.0707361
1	8	-1.11022e-16	0	1	0	0	0	0	1	19.58	0	0.0682072
1	12	-1.11022e-16	0	1	0	0	0	0	0	14.99	0	0.0585457
1	17	-1.11022e-16	0	1	0	0	0	0	0	20.24	0	0.0456791
1	12	-1.11022e-16	0	1	0	0	0	0	1	20.99	0	0.0884259
1	10	-1.11022e-16	0	1	0	0	0	0	1	19.8	0	0.0838572
1	13	-1.11022e-16	0	1	0	0	0	0	0	22.12	0	0.00735168
1	18	1	0	0	0	0	0	0	1	20.24	0	5.21437e-05
1	11	1	0	0	0	0	0	0	0	21.99	0	-0.145525
1	17	1	0	0	0	0	0	0	0	21.99	0	-0.0970798
1	17	1	0	0	0	0	0	0	1	20.24	0	-0.00531015
1	14	1	0	0	0	0	0	1	0	19.99	0	-0.241233
1	7	1	0	0	0	1	0	0	0	17.99	0	0.230345
1	10	-1.11022e-16	0	1	0	0	0	0	1	21.99	0	0.0591917
1	12	1	0	0	0	0	0	0	1	20.99	0	-0.041072
1	13	-1.11022e-16	0	1	0	0	0	0	0	19.99	0	0.0224243
1	18	1	0	0	0	0	0	0	1	22.24	0	-0.013984
1	11	-1.11022e-16	0	1	0	0	0	0	0	19.8	0	0.012616
1	10	1	0	0	0	0	0	0	0	17.99	0	-0.112416
1	18	1	0	0	0	1	0	0	0	21.24	0	0.142198
1	18	1	0	0	0	0	0	0	0	18.24	0	-0.0516935
1	18	-1.11022e-16	0	1	0	0	0	0	0	20.24	0	0.0528937
1	7	1	0	0	0	0	0	0	0	19.99	0	-0.156067
1	11	-1.11022e-16	0	1	0	0	0	0	1	18.05	0	0.117549
1	14	-1.11022e-16	0	0	1	0	0	0	0	19.99	0	-0.0775179
1	10	1	0	0	0	0	0	0	0	19.8	0	-0.131342
1	18	1	0	0	0	1	0	0	0	15.4	0	0.0308258
1	17	1	0	0	0	0	0	0	1	22.33	0	-0.0204608
1	14	-1.11022e-16	0	1	0	0	0	0	0	22.05	0	0.013237
1	13	1	0	0	0	0	0	0	0	19.99	0	-0.108943
1	8	1	0	0	0	1	0	0	0	18.33	0	0.223681
1	10	1	0	0	0	1	0	0	0	19.02	0	0.210399
1	10	1	0	0	0	0	0	0	0	18.99	0	-0.122937
1	9	-1.11022e-16	0	1	0	0	0	0	1	17.99	0	0.0969025
1	14	1	0	0	0	1	0	0	0	13.99	0	0.0639194
1	10	-1.11022e-16	0	1	0	0	0	0	0	19.02	0	0.012616
1	13	-1.11022e-16	1	0	0	0	0	0	1	17.99	0	0.0171828
1	10	1	0	0	0	0	0	0	1	19.99	0	-0.0460675
1	10	-1.11022e-16	0	1	0	0	0	0	1	19.99	0	0.0815409
1	11	1	0	0	0	0	0	1	0	19.02	0	-0.240235
1	14	1	0	0	0	0	0	0	0	21.99	0	-0.121743
1	7	-1.11022e-16	1	0	0	0	0	0	0	19.8	0	-0.112817
1	15	1	0	0	0	1	0	0	0	20.99	0	0.178885
1	8	-1.11022e-16	0	1	0	0	0	0	1	22.15	0	0.0428597
1	9	1	0	0	0	1	0	0	0	18.99	0	0.221949
1	11	-1.11022e-16	0	1	0	0	0	0	0	19.05	0	0.0179091
1	14	-1.11022e-16	1	0	0	0	0	0	1	18.59	0	0.0184557
1	13	-1.11022e-16	0	1	0	0	0	0	0	20.12	0	0.0214932
1	15	-1.11022e-16	0	0	1	0	0	0	1	15.56	0	0.0329952
1	16	-1.11022e-16	0	1	0	0	0	0	1	15.65	0	0.214006
1	9	-1.11022e-16	1	0	0	0	0	0	0	19.8	0	-0.0964158
1	8	1	0	0	0	0	0	0	0	9.9	0	-0.0468595
1	9	1	0	0	0	0	0	0	1	21.99	0	-0.0725148
1	14	1	0	0	0	0	0	0	0	20.99	0	-0.111214
1	12	1	0	0	0	0	0	0	1	18.99	0	-0.0247289
1	13	1	0	0	0	1	0	0	0	9.9	0	0.000136087
1	12	-1.11022e-16	1	0	0	0	0	0	0	17.99	0	-0.0546351
1	17	1	0	0	0	0	0	0	0	20.33	0	-0.0798487
1	16	-1.11022e-16	0	0	1	1	0	0	0	19.27	1	-0.228045
1	18	-1.11022e-16	0	1	0	0	0	0	1	18.24	0	0.197827
1	17	1	0	0	0	0	0	0	1	18.99	0	0.00335631
1	18	1	0	0	0	1	0	0	0	19.3	0	0.10606
1	14	1	0	0	0	0	0	0	0	19.99	0	-0.100671
1	11	1	0	0	0	0	0	0	0	15.15	0	-0.0748155
1	12	1	0	0	0	0	0	0	0	9.9	0	-0.0212283
1	18	-1.11022e-16	1	0	0	0	0	0	1	20.3	0	0.0290132
1	12	-1.11022e-16	0	1	0	0	0	0	0	17.99	0	0.031686
1	15	-1.11022e-16	0	1	0	0	0	0	1	21.99	0	0.106072
1	13	1	0	0	0	0	0	0	1	15.99	0	0.0024882
1	18	-1.11022e-16	1	0	0	0	0	0	1	21.3	0	0.0214932
1	11	-1.11022e-16	0	1	0	0	0	0	0	5.9	0	0.170442
1	13	1	0	0	0	0	0	0	1	20.99	0	-0.0345576
1	12	-1.11022e-16	0	1	0	0	0	0	1	21.99	0	0.0762652
1	18	-1.11022e-16	0	1	0	0	0	0	1	19.8	0	0.173403
1	16	1	0	0	0	0	0	0	1	16.9	0	0.0123504
1	9	-1.11022e-16	0	1	0	0	0	0	0	17.02	0	0.0213076
1	9	1	0	0	0	1	0	0	0	18.99	0	0.221949
1	16	-1.11022e-16	0	1	0	0	0	0	0	15.99	0	0.0823093
1	17	1	0	0	0	0	0	0	0	14.15	0	-0.0238465
1	10	-1.11022e-16	0	1	0	0	0	0	1	15.15	0	0.148768
1	13	-1.11022e-16	0	1	0	0	0	0	1	20.99	0	0.0985733
1	12	-1.11022e-16	0	1	0	0	0	0	0	16.49	0	0.0443163
1	17	-1.11022e-16	1	0	0	1	0	0	0	22.24	0	0.0983323
1	9	-1.11022e-16	0	1	0	0	0	0	0	16.49	0	0.0252511
1	10	-1.11022e-16	0	1	0	0	0	0	1	17.99	0	0.10746
1	15	-1.11022e-16	0	1	0	0	0	0	0	14.15	0	0.0955752
1	14	-1.11022e-16	0	1	0	0	0	0	1	22.05	0	0.0949147
1	15	1	0	0	0	0	0	0	0	14.99	0	-0.0436046
1	17	-1.11022e-16	0	1	0	0	0	0	0	17.99	0	0.0680677
1	12	1	0	0	0	0	0	0	1	21.99	0	-0.0499512
1	10	-1.11022e-16	0	1	0	0	0	0	1	16.49	0	0.128695
