Included Error Fit Y Units[u] Material_Cost_[$/u] 
0 -3.5908 45.4108 41.82 190 3.58488 
0 5.60439 41.6056 47.21 130 1.93111 
0 -2.7763 41.1363 38.36 250 2.06795 
0 12.0368 41.5532 53.59 110 1.85702 
0 6.04898 40.081 46.13 200 1.52007 
0 16.6534 45.1366 61.79 1700 7.5167 
0 0.774474 42.6155 43.39 400 3.04971 
0 -4.27687 47.4469 43.17 100 4.14314 
0 -12.3165 36.5865 24.27 1000 2.28882 
0 -4.63105 33.6111 28.98 1600 2.72624 
0 7.75822 40.0018 47.76 180 1.43547 
0 -9.12427 44.6743 35.55 220 3.3761 
0 4.94088 43.4891 48.43 110 2.61675 
0 5.09892 41.2311 46.33 110 1.73063 
0 3.04344 43.0466 46.09 200 2.68384 
0 -17.0564 41.7864 24.73 210 2.21604 
0 0.212199 39.2778 39.49 110 0.9641 
0 8.12939 40.7706 48.9 210 1.81744 
0 0.278794 38.2612 38.54 260 0.966427 
0 1.76717 47.0628 48.83 110 4.01918 
0 -10.937 38.767 27.83 290 1.24517 
0 -8.05852 39.6285 31.57 500 2.14503 
0 9.24731 40.2827 49.53 110 1.35845 
0 -7.47678 43.2868 35.81 140 2.6176 
0 -10.0868 39.3668 29.28 180 1.18629 
0 -8.3327 39.4127 31.08 190 1.23105 
0 -10.4001 38.6801 28.28 170 0.890043 
0 0.761604 41.1484 41.91 130 1.75168 
0 6.87452 38.6455 45.52 110 0.71596 
0 -10.2535 41.4635 31.21 110 1.82181 
0 13.5024 42.9276 56.43 130 2.44989 
0 -5.6528 38.8628 33.21 130 0.854744 
0 10.5858 47.0642 57.65 180 4.20696 
0 -6.32834 40.7183 34.39 190 1.74342 
0 -5.01077 36.3608 31.35 700 1.3977 
0 -7.5444 48.0244 40.48 140 4.47678 
0 8.56581 45.1142 53.68 120 3.28123 
0 4.57716 35.6228 40.2 1400 2.9807 
0 -11.2535 33.7535 22.5 1800 3.31716 
0 -4.6971 39.5771 34.88 160 1.21531 
0 -4.65826 41.9883 37.33 600 3.33858 
0 -2.30179 39.5018 37.2 240 1.39977 
0 -7.12498 41.125 34 290 2.17051 
0 46.2866 34.9334 81.22 800 1.10507 
0 -0.664405 36.0044 35.34 800 1.52536 
0 -6.30863 43.1886 36.88 170 2.65934 
0 -15.5337 39.2837 23.75 600 2.27724 
0 -2.14866 41.1787 39.03 180 1.89731 
0 -1.01232 41.3523 40.34 110 1.7782 
0 -1.56935 38.5394 36.97 600 1.98512 
0 -1.0849 43.1749 42.09 130 2.54694 
0 -14.1503 40.6103 26.46 300 1.9953 
0 -6.21052 44.2205 38.01 160 3.03753 
0 -11.552 40.052 28.5 300 1.77619 
0 -0.512597 40.5626 40.05 130 1.5218 
0 -12.1639 36.9639 24.8 600 1.36687 
0 -5.9909 39.5809 33.59 160 1.2168 
0 -0.530302 37.8203 37.29 500 1.43543 
0 -6.52335 40.9134 34.39 120 1.63269 
0 -3.67242 46.8624 43.19 100 3.91378 
0 -7.12925 37.4992 30.37 400 1.04193 
0 2.5782 45.2718 47.85 150 3.42333 
0 -6.74239 41.8824 35.14 300 2.49449 
0 -2.39154 41.2015 38.81 500 2.76233 
0 -1.42388 44.9839 43.56 110 3.20333 
0 0.381818 42.8282 43.21 300 2.86565 
0 7.2549 41.7151 48.97 110 1.92057 
0 2.51512 39.9549 42.47 130 1.28331 
0 -3.21624 44.6162 41.4 180 3.24632 
0 -5.0943 44.9543 39.86 100 3.16498 
0 4.66513 42.7249 47.39 120 2.34359 
