-4.76275e-05 0.1 0.00348659 0.00695039 0.00348659 0.00695039  0.120826     SS 13608.7 --> 11090 R2 = 0.185086
-4.76275e-05 0.1 0.00348659 0.00643993 0.00348659 0.00695039  0.120316     SS 13608.7 --> 11090 R2 = 0.185086
-4.76275e-05 0.1 0.00348659 0.00643993 0.00348659 0.00643993  0.119805     SS 13608.7 --> 11090 R2 = 0.185086
-4.76275e-05 0.1 0.00348659 0.00615887 0.00348659 0.00643993  0.119524     SS 13608.7 --> 11090 R2 = 0.185086
-4.76275e-05 0.1 0.00348659 0.00615887 0.00348659 0.00615887  0.119243     SS 13608.7 --> 11090 R2 = 0.185086
-4.76275e-05 0.1 0.00323059 0.00615887 0.00348659 0.00615887  0.118987     SS 13608.7 --> 11090 R2 = 0.185086
-4.76275e-05 0.1 0.00323059 0.00615887 0.00323059 0.00615887  0.118731     SS 13608.7 --> 11090 R2 = 0.185086
-4.76275e-05 0.0998214 0.00323059 0.00615887 0.00323059 0.00615887  0.118553     SS 13608.7 --> 11090 R2 = 0.185086
-4.76275e-05 0.0996428 0.00323059 0.00615887 0.00323059 0.00615887  0.118374     SS 13608.7 --> 11090 R2 = 0.185086
-4.76275e-05 0.0994642 0.00323059 0.00615887 0.00323059 0.00615887  0.118195     SS 13608.7 --> 11090 R2 = 0.185086
-4.76275e-05 0.0992856 0.00323059 0.00615887 0.00323059 0.00615887  0.118017     SS 13608.7 --> 11090 R2 = 0.185086
-4.76275e-05 0.099107 0.00323059 0.00615887 0.00323059 0.00615887  0.117838     SS 13608.7 --> 11090 R2 = 0.185086
-4.76275e-05 0.0989284 0.00323059 0.00615887 0.00323059 0.00615887  0.11766     SS 13608.7 --> 11090 R2 = 0.185086
-4.76275e-05 0.0987498 0.00323059 0.00615887 0.00323059 0.00615887  0.117481     SS 13608.7 --> 11090 R2 = 0.185086
-4.76275e-05 0.0985712 0.00323059 0.00615887 0.00323059 0.00615887  0.117302     SS 13608.7 --> 11090 R2 = 0.185086
-4.76275e-05 0.0983926 0.00323059 0.00615887 0.00323059 0.00615887  0.117124     SS 13608.7 --> 11090 R2 = 0.185086
-4.76275e-05 0.098214 0.00323059 0.00615887 0.00323059 0.00615887  0.116945     SS 13608.7 --> 11090 R2 = 0.185086
-4.76275e-05 0.0980354 0.00323059 0.00615887 0.00323059 0.00615887  0.116767     SS 13608.7 --> 11090 R2 = 0.185086
-4.76275e-05 0.0978568 0.00323059 0.00615887 0.00323059 0.00615887  0.116588     SS 13608.7 --> 11090 R2 = 0.185086
-4.76275e-05 0.0976782 0.00323059 0.00615887 0.00323059 0.00615887  0.116409     SS 13608.7 --> 11090 R2 = 0.185086
-4.76275e-05 0.0974996 0.00323059 0.00615887 0.00323059 0.00615887  0.116231     SS 13608.7 --> 11090 R2 = 0.185086
-4.76275e-05 0.097321 0.00323059 0.00615887 0.00323059 0.00615887  0.116052     SS 13608.7 --> 11090 R2 = 0.185086
-4.76275e-05 0.0971424 0.00323059 0.00615887 0.00323059 0.00615887  0.115874     SS 13608.7 --> 11090 R2 = 0.185086
-4.76275e-05 0.0969634 0.00323059 0.00615887 0.00323059 0.00615887  0.115695     SS 13608.7 --> 11090 R2 = 0.185086
-4.76275e-05 0.0967845 0.00323059 0.00615887 0.00323059 0.00615887  0.115516     SS 13608.7 --> 11090 R2 = 0.185086
-4.76275e-05 0.0966056 0.00323059 0.00615887 0.00323059 0.00615887  0.115337     SS 13608.7 --> 11090 R2 = 0.185086
-4.76275e-05 0.0964266 0.00323059 0.00615887 0.00323059 0.00615887  0.115158     SS 13608.7 --> 11090 R2 = 0.185086
-4.76275e-05 0.0964266 0.00323059 0.00615887 0.00323059 0.00615887  0.115158     SS 13608.7 --> 11090 R2 = 0.185086
-4.76275e-05 0.096247 0.00323059 0.00615887 0.00323059 0.00615887  0.114978     SS 13608.7 --> 11090 R2 = 0.185086
